qseqid,sseqid,pident,length,mismatch,gapopen,qlen,slen,qstart,qend,sstart,send,evalue,bitscore,similarity
11091|D3YPT1|1-56,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,72.414,58,14,1,56,536,1,56,345,402,4.5e-22,88.6,75.00021428571429
11476|D7F195|57-112,tr|K7ES52|K7ES52_HUMAN,84.615,52,8,0,56,180,5,56,92,143,4.05e-27,97.4,78.57107142857143
11476|D7F195|57-112,tr|K7ERJ1|K7ERJ1_HUMAN,84.615,52,8,0,56,187,5,56,100,151,5.25e-27,97.4,78.57107142857143
11476|D7F195|57-112,tr|B5BU32|B5BU32_HUMAN,84.615,52,8,0,56,234,5,56,92,143,7.96e-27,98.2,78.57107142857143
11476|D7F195|57-112,tr|A0A384MDV9|A0A384MDV9_HUMAN,84.615,52,8,0,56,234,5,56,92,143,8.39e-27,98.2,78.57107142857143
11476|D7F195|57-112,sp|P04183|KITH_HUMAN,84.615,52,8,0,56,234,5,56,92,143,8.39e-27,98.2,78.57107142857143
11476|D7F195|57-112,tr|B5BUF9|B5BUF9_HUMAN,84.615,52,8,0,56,234,5,56,92,143,9.05e-27,97.8,78.57107142857143
11476|D7F195|57-112,tr|K7ERV3|K7ERV3_HUMAN,84.615,52,8,0,56,267,5,56,92,143,2.31e-26,97.4,78.57107142857143
11477|D7F195|85-113,tr|K7ERJ1|K7ERJ1_HUMAN,82.759,29,5,0,29,187,1,29,124,152,7.53e-11,54.3,82.759
11477|D7F195|85-113,tr|K7ES52|K7ES52_HUMAN,82.759,29,5,0,29,180,1,29,116,144,7.83e-11,53.9,82.759
11477|D7F195|85-113,tr|A0A384MDV9|A0A384MDV9_HUMAN,82.759,29,5,0,29,234,1,29,116,144,1.22e-10,54.3,82.759
11477|D7F195|85-113,sp|P04183|KITH_HUMAN,82.759,29,5,0,29,234,1,29,116,144,1.22e-10,54.3,82.759
11477|D7F195|85-113,tr|B5BUF9|B5BUF9_HUMAN,82.759,29,5,0,29,234,1,29,116,144,1.23e-10,54.3,82.759
11477|D7F195|85-113,tr|B5BU32|B5BU32_HUMAN,82.759,29,5,0,29,234,1,29,116,144,1.29e-10,53.9,82.759
11477|D7F195|85-113,tr|K7ERV3|K7ERV3_HUMAN,82.759,29,5,0,29,267,1,29,116,144,2.6e-10,53.5,82.759
115255|P06854|29-84,tr|Q53FB7|Q53FB7_HUMAN,76.786,56,13,0,56,313,1,56,48,103,5.01e-28,102.0,76.786
115255|P06854|29-84,tr|Q53Y97|Q53Y97_HUMAN,76.786,56,13,0,56,313,1,56,48,103,5.2799999999999995e-28,102.0,76.786
115255|P06854|29-84,sp|P04818|TYSY_HUMAN,76.786,56,13,0,56,313,1,56,48,103,5.2799999999999995e-28,102.0,76.786
115255|P06854|29-84,tr|A8K9A5|A8K9A5_HUMAN,76.786,56,13,0,56,313,1,56,48,103,5.51e-28,102.0,76.786
115256|P06854|57-112,tr|A8K9A5|A8K9A5_HUMAN,76.786,56,13,0,56,313,1,56,76,131,6.11e-27,100.0,76.786
115256|P06854|57-112,tr|Q53Y97|Q53Y97_HUMAN,76.786,56,13,0,56,313,1,56,76,131,6.11e-27,100.0,76.786
115256|P06854|57-112,sp|P04818|TYSY_HUMAN,76.786,56,13,0,56,313,1,56,76,131,6.11e-27,100.0,76.786
115256|P06854|57-112,tr|Q53FB7|Q53FB7_HUMAN,76.786,56,13,0,56,313,1,56,76,131,7.62e-27,99.8,76.786
115257|P06854|85-140,tr|A8K9A5|A8K9A5_HUMAN,76.364,55,13,0,56,313,2,56,105,159,1.39e-26,99.0,75.00035714285714
115257|P06854|85-140,tr|Q53Y97|Q53Y97_HUMAN,76.364,55,13,0,56,313,2,56,105,159,2.01e-26,98.6,75.00035714285714
115257|P06854|85-140,sp|P04818|TYSY_HUMAN,76.364,55,13,0,56,313,2,56,105,159,2.01e-26,98.6,75.00035714285714
115257|P06854|85-140,tr|Q53FB7|Q53FB7_HUMAN,76.364,55,13,0,56,313,2,56,105,159,2.33e-26,98.6,75.00035714285714
115260|P06854|169-224,tr|Q53Y97|Q53Y97_HUMAN,76.786,56,13,0,56,313,1,56,188,243,6.79e-27,99.8,76.786
115260|P06854|169-224,sp|P04818|TYSY_HUMAN,76.786,56,13,0,56,313,1,56,188,243,6.79e-27,99.8,76.786
115260|P06854|169-224,tr|A8K9A5|A8K9A5_HUMAN,76.786,56,13,0,56,313,1,56,188,243,1.21e-26,99.4,76.786
115260|P06854|169-224,tr|Q53FB7|Q53FB7_HUMAN,75.0,56,14,0,56,313,1,56,188,243,3.4e-26,98.2,75.0
115261|P06854|197-252,tr|Q53Y97|Q53Y97_HUMAN,75.0,56,14,0,56,313,1,56,216,271,6.52e-26,97.4,75.0
115261|P06854|197-252,sp|P04818|TYSY_HUMAN,75.0,56,14,0,56,313,1,56,216,271,6.52e-26,97.4,75.0
115261|P06854|197-252,tr|A8K9A5|A8K9A5_HUMAN,75.0,56,14,0,56,313,1,56,216,271,1.16e-25,96.7,75.0
115301|P09503|1-56,tr|B4DM58|B4DM58_HUMAN,78.571,56,12,0,56,129,1,56,1,56,1.6700000000000002e-26,94.4,78.571
115301|P09503|1-56,tr|B0YJ76|B0YJ76_HUMAN,78.571,56,12,0,56,187,1,56,1,56,3.04e-26,95.5,78.571
115301|P09503|1-56,sp|P00374|DYR_HUMAN,78.571,56,12,0,56,187,1,56,1,56,3.04e-26,95.5,78.571
115302|P09503|29-84,tr|B4DM58|B4DM58_HUMAN,85.455,55,8,0,56,129,2,56,30,84,2.18e-28,99.4,83.92901785714285
115302|P09503|29-84,tr|B0YJ76|B0YJ76_HUMAN,85.455,55,8,0,56,187,2,56,30,84,1.1500000000000002e-27,99.0,83.92901785714285
115302|P09503|29-84,sp|P00374|DYR_HUMAN,85.455,55,8,0,56,187,2,56,30,84,1.1500000000000002e-27,99.0,83.92901785714285
115302|P09503|29-84,tr|C9JJ68|C9JJ68_HUMAN,81.818,55,10,0,56,114,2,56,30,84,5.490000000000001e-27,95.1,80.35696428571428
